"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"DNAJC2"	"chr7"	102952921	102985320	"protein_coding"	1	96
"NAMPT"	"chr7"	105888731	105926772	"protein_coding"	1	98
"PIK3CG"	"chr7"	106505723	106547590	"protein_coding"	1	98
"SP4"	"chr7"	21467652	21554440	"protein_coding"	1	81
"CAV2"	"chr7"	115927434	116148595	"protein_coding"	1	52
"LMBR1"	"chr7"	156461646	156685924	"protein_coding"	1	51
"BRAT1"	"chr7"	2577511	2595361	"protein_coding"	1	99
"IQCE"	"chr7"	2598632	2654368	"protein_coding"	1	94
"VIPR2"	"chr7"	158820866	158937649	"protein_coding"	1	79
"HIBADH"	"chr7"	27565061	27702614	"protein_coding"	1	72
"TAX1BP1"	"chr7"	27778950	27884183	"protein_coding"	1	80
"CPVL"	"chr7"	29034847	29235067	"protein_coding"	1	64
"COBL"	"chr7"	51083909	51384515	"protein_coding"	1	40
"NOD1"	"chr7"	30464143	30518400	"protein_coding"	1	90
"GARS"	"chr7"	30634297	30673649	"protein_coding"	1	98
"PTCD1"	"chr7"	99014362	99063787	"protein_coding"	1	93
"ZKSCAN1"	"chr7"	99613204	99639312	"protein_coding"	1	99
"SNX8"	"chr7"	2291405	2393953	"protein_coding"	1	78
"C1GALT1"	"chr7"	7196565	7288282	"protein_coding"	1	82
"EZH2"	"chr7"	148504475	148581413	"protein_coding"	1	94
"TSPAN13"	"chr7"	16793160	16824161	"protein_coding"	1	99
"AHR"	"chr7"	17338246	17385776	"protein_coding"	1	97
"GLI3"	"chr7"	42000548	42277469	"protein_coding"	1	43
"URGCP"	"chr7"	43915493	43966010	"protein_coding"	1	94
"PRKAG2"	"chr7"	151253197	151574210	"protein_coding"	1	39
"EIF4H"	"chr7"	73588575	73611431	"protein_coding"	1	97
"TMEM245"	"chr9"	111777432	111882225	"protein_coding"	1	94
"PRUNE2"	"chr9"	79226292	79521003	"protein_coding"	1	72
"TGFBR1"	"chr9"	101866320	101916474	"protein_coding"	1	96
"C5"	"chr9"	123714616	123812554	"protein_coding"	1	95
"ECM2"	"chr9"	95256365	95298937	"protein_coding"	1	96
"TNFSF8"	"chr9"	117656003	117692697	"protein_coding"	1	97
"PLGRKT"	"chr9"	5357973	5437878	"protein_coding"	1	90
"TBC1D13"	"chr9"	131549483	131572711	"protein_coding"	1	99
"KIAA1432"	"chr9"	5629025	5776557	"protein_coding"	1	87
"KANK1"	"chr9"	470291	746105	"protein_coding"	1	66
"ELAVL2"	"chr9"	23690102	23826335	"protein_coding"	1	87
"FUBP3"	"chr9"	133454352	133513739	"protein_coding"	1	97
"GLIS3"	"chr9"	3824127	4348392	"protein_coding"	1	36
"ABCA2"	"chr9"	139901686	139923367	"protein_coding"	1	99
"SHB"	"chr9"	37919131	38069210	"protein_coding"	1	86
"UBE2R2"	"chr9"	33817565	33920402	"protein_coding"	1	95
"ZFAND5"	"chr9"	74966341	74980163	"protein_coding"	1	100
"ATRNL1"	"chr10"	116853124	117708503	"protein_coding"	1	11
"DNMBP"	"chr10"	101635334	101769676	"protein_coding"	1	88
"CUBN"	"chr10"	16865963	17171830	"protein_coding"	1	61
"DDX50"	"chr10"	70661034	70706603	"protein_coding"	1	98
"MAPK8"	"chr10"	49514698	49647403	"protein_coding"	1	82
"PLEKHA1"	"chr10"	124134212	124191867	"protein_coding"	1	97
"ACTA2"	"chr10"	90694831	90751147	"protein_coding"	1	98
"TNKS2"	"chr10"	93558069	93625033	"protein_coding"	1	99
"CPEB3"	"chr10"	93806449	94050844	"protein_coding"	1	74
"ANKRD26"	"chr10"	27280843	27389421	"protein_coding"	1	88
"ACBD5"	"chr10"	27484146	27531059	"protein_coding"	1	98
"LARP4B"	"chr10"	855484	977564	"protein_coding"	1	94
"SH3PXD2A"	"chr10"	105348285	105615301	"protein_coding"	1	61
"GLRX3"	"chr10"	131934663	131982785	"protein_coding"	1	98
"SHOC2"	"chr10"	112679301	112773425	"protein_coding"	1	92
"CCDC6"	"chr10"	61548521	61666414	"protein_coding"	1	90
"TSPAN14"	"chr10"	82213922	82292879	"protein_coding"	1	92
"TADA2A"	"chr17"	35766965	35839835	"protein_coding"	1	68
"PSMD3"	"chr17"	38137050	38154213	"protein_coding"	1	93
"RNF43"	"chr17"	56429861	56494956	"protein_coding"	1	79
"SEPT4"	"chr17"	56597611	56618179	"protein_coding"	1	95
"DHX40"	"chr17"	57642886	57685706	"protein_coding"	1	92
"CAMTA2"	"chr17"	4871287	4890960	"protein_coding"	1	95
"CCDC47"	"chr17"	61822610	61853711	"protein_coding"	1	89
"HNF1B"	"chr17"	36046435	36105237	"protein_coding"	1	78
"MRPL27"	"chr17"	48445218	48450575	"protein_coding"	1	98
"ALOX12"	"chr17"	6899384	6914055	"protein_coding"	1	98
"ABCC3"	"chr17"	48712138	48769613	"protein_coding"	1	68
"EFTUD2"	"chr17"	42927311	42977030	"protein_coding"	1	83
"SLC9A3R1"	"chr17"	72744791	72765492	"protein_coding"	1	97
"TMEM104"	"chr17"	72772622	72835918	"protein_coding"	1	79
"TNFAIP1"	"chr17"	26662628	26674035	"protein_coding"	1	99
"PHF12"	"chr17"	27232268	27278789	"protein_coding"	1	89
"TMEM33"	"chr4"	41937137	41962589	"protein_coding"	1	99
"USP46"	"chr4"	53457138	53525502	"protein_coding"	1	96
"CHIC2"	"chr4"	54875956	54930857	"protein_coding"	1	98
"GAR1"	"chr4"	110736666	110745893	"protein_coding"	1	100
"CLCN3"	"chr4"	170533784	170644824	"protein_coding"	1	86
"TRIM2"	"chr4"	154073494	154260472	"protein_coding"	1	81
"TBC1D19"	"chr4"	26578059	26756973	"protein_coding"	1	76
"SH3D19"	"chr4"	152023903	152246784	"protein_coding"	1	75
"STIM2"	"chr4"	26859300	27027003	"protein_coding"	1	83
"RAPGEF2"	"chr4"	160025330	160281321	"protein_coding"	1	57
"SNX25"	"chr4"	186125391	186291339	"protein_coding"	1	88
"KLF3"	"chr4"	38665817	38702663	"protein_coding"	1	98
"CTSC"	"chr11"	88026760	88070955	"protein_coding"	1	82
"ZBTB16"	"chr11"	113930315	114121398	"protein_coding"	1	39
"ELP4"	"chr11"	31531297	31805546	"protein_coding"	1	17
"SIAE"	"chr11"	124503009	124565603	"protein_coding"	1	83
"OSBP"	"chr11"	59341871	59383617	"protein_coding"	1	89
"MS4A4A"	"chr11"	60048014	60076445	"protein_coding"	1	95
"CHORDC1"	"chr11"	89934328	89956532	"protein_coding"	1	97
"IL10RA"	"chr11"	117857063	117872196	"protein_coding"	1	99
"PDHX"	"chr11"	34937376	35042138	"protein_coding"	1	68
"COMMD9"	"chr11"	36295051	36310999	"protein_coding"	1	98
"CD5"	"chr11"	60869867	60895324	"protein_coding"	1	96
"MADD"	"chr11"	47290712	47351582	"protein_coding"	1	85
"C11orf58"	"chr11"	16634679	16778428	"protein_coding"	1	43
"PITPNM1"	"chr11"	67259239	67273734	"protein_coding"	1	99
"RPS13"	"chr11"	17095936	17099334	"protein_coding"	1	100
"CHKA"	"chr11"	67820326	67888911	"protein_coding"	1	77
"GTF2H1"	"chr11"	18343842	18388591	"protein_coding"	1	92
"POU2AF1"	"chr11"	111222977	111326355	"protein_coding"	1	56
"CD69"	"chr12"	9905082	9913497	"protein_coding"	1	100
"CORO1C"	"chr12"	109038885	109125372	"protein_coding"	1	74
"DAO"	"chr12"	109252708	109294819	"protein_coding"	1	91
"CAPRIN2"	"chr12"	30862486	30907885	"protein_coding"	1	91
"BIN2"	"chr12"	51674822	51718452	"protein_coding"	1	91
"ELK3"	"chr12"	96588160	96663613	"protein_coding"	1	82
"PRR4"	"chr12"	10977559	11324212	"protein_coding"	1	13
"PARP11"	"chr12"	3900213	3982608	"protein_coding"	1	73
"SH2B3"	"chr12"	111843752	111889427	"protein_coding"	1	92
"CDKN1B"	"chr12"	12867992	12875305	"protein_coding"	1	99
"CDK2AP1"	"chr12"	123745528	123756881	"protein_coding"	1	100
"GTF2H3"	"chr12"	124118375	124147153	"protein_coding"	1	100
"VDR"	"chr12"	48235320	48336831	"protein_coding"	1	76
"GPR133"	"chr12"	131438452	131626014	"protein_coding"	1	100
"COPZ1"	"chr12"	54694986	54745633	"protein_coding"	1	88
"RAB5B"	"chr12"	56367697	56388490	"protein_coding"	1	99
"CNOT2"	"chr12"	70636774	70748773	"protein_coding"	1	67
"TIMELESS"	"chr12"	56810903	56843187	"protein_coding"	1	97
"COPS7A"	"chr12"	6832907	6841041	"protein_coding"	1	99
"USP5"	"chr12"	6961292	6975796	"protein_coding"	1	97
"GNPTAB"	"chr12"	102139275	102224716	"protein_coding"	1	72
"ATN1"	"chr12"	7033626	7051484	"protein_coding"	1	98
"GOLT1B"	"chr12"	21654715	21671342	"protein_coding"	1	100
"LDHB"	"chr12"	21788276	21910791	"protein_coding"	1	67
"C2CD5"	"chr12"	22601517	22697480	"protein_coding"	1	69
"RIC8B"	"chr12"	107168373	107283090	"protein_coding"	1	65
"SRSF9"	"chr12"	120899471	120907596	"protein_coding"	1	100
"DSE"	"chr6"	116575336	116762424	"protein_coding"	1	43
"NEDD9"	"chr6"	11183531	11382581	"protein_coding"	1	34
"MCM9"	"chr6"	119134605	119256327	"protein_coding"	1	61
"MAN1A1"	"chr6"	119498374	119670926	"protein_coding"	1	51
"SERINC1"	"chr6"	122764499	122792967	"protein_coding"	1	96
"FAM65B"	"chr6"	24797601	25042238	"protein_coding"	1	28
"UST"	"chr6"	149068464	149398126	"protein_coding"	1	14
"PPARD"	"chr6"	35310335	35395968	"protein_coding"	1	76
"FANCE"	"chr6"	35420138	35434880	"protein_coding"	1	98
"KCTD20"	"chr6"	36410544	36458920	"protein_coding"	1	93
"SOD2"	"chr6"	160090089	160183561	"protein_coding"	1	70
"ZNF451"	"chr6"	56951642	57035105	"protein_coding"	1	76
"KHDRBS2"	"chr6"	62389865	62996132	"protein_coding"	1	3
"FBXL4"	"chr6"	99316420	99395849	"protein_coding"	1	83
"PTP4A1"	"chr6"	64231666	64293492	"protein_coding"	1	89
"SIM1"	"chr6"	100832891	100912805	"protein_coding"	1	74
"MED23"	"chr6"	131895106	131949369	"protein_coding"	1	95
"SMAP1"	"chr6"	71377479	71571718	"protein_coding"	1	43
"C6orf62"	"chr6"	24705089	24721064	"protein_coding"	1	97
"FIG4"	"chr6"	110012499	110146631	"protein_coding"	1	51
"PHACTR2"	"chr6"	143857982	144152322	"protein_coding"	1	21
"PACRG"	"chr6"	163148164	163736524	"protein_coding"	1	0
"QKI"	"chr6"	163835032	163999628	"protein_coding"	1	42
"PDE10A"	"chr6"	165740776	166400091	"protein_coding"	1	0
"GLTSCR1L"	"chr6"	42749765	42836298	"protein_coding"	1	71
"PPP2R5D"	"chr6"	42952237	42980080	"protein_coding"	1	96
"TMEM30A"	"chr6"	75962640	75994684	"protein_coding"	1	96
"TTK"	"chr6"	80713604	80752244	"protein_coding"	1	92
"CLIC5"	"chr6"	45868045	46048132	"protein_coding"	1	41
"FBRSL1"	"chr12"	133066137	133161774	"protein_coding"	1	100
"CEP72"	"chr5"	612387	667283	"protein_coding"	1	96
"MAN2A1"	"chr5"	109025067	109205326	"protein_coding"	1	78
"GHR"	"chr5"	42423879	42721979	"protein_coding"	1	42
"NNT"	"chr5"	43602794	43707507	"protein_coding"	1	92
"MRPS27"	"chr5"	71515236	71616473	"protein_coding"	1	92
"PFDN1"	"chr5"	139624624	139682706	"protein_coding"	1	94
"LOX"	"chr5"	121398890	121413980	"protein_coding"	1	100
"ITK"	"chr5"	156569944	156682201	"protein_coding"	1	78
"CLINT1"	"chr5"	157212751	157286183	"protein_coding"	1	95
"ARRDC3"	"chr5"	90664541	90679176	"protein_coding"	1	100
"SUB1"	"chr5"	32531739	32604185	"protein_coding"	1	92
"SLC27A6"	"chr5"	127873706	128369335	"protein_coding"	1	19
"SLC12A7"	"chr5"	1050499	1112150	"protein_coding"	1	90
"RAD50"	"chr5"	131891711	131980313	"protein_coding"	1	90
"PPP2CA"	"chr5"	133530025	133561833	"protein_coding"	1	97
"PPWD1"	"chr5"	64859063	64883376	"protein_coding"	1	99
"TRAPPC13"	"chr5"	64920543	64962060	"protein_coding"	1	97
"C9"	"chr5"	39284364	39424970	"protein_coding"	1	84
"SEC24A"	"chr5"	133984479	134063513	"protein_coding"	1	96
"TCERG1"	"chr5"	145826874	145891524	"protein_coding"	1	96
"DPYSL3"	"chr5"	146770374	146889619	"protein_coding"	1	84
"SMAD5"	"chr5"	135468534	135524435	"protein_coding"	1	98
"HMGXB3"	"chr5"	149379884	149432386	"protein_coding"	1	95
"EHHADH"	"chr3"	184908412	184999778	"protein_coding"	1	87
"SMC4"	"chr3"	160117062	160152750	"protein_coding"	1	95
"UBE3A"	"chr15"	25582381	25684128	"protein_coding"	1	84
"CEP70"	"chr3"	138213186	138313380	"protein_coding"	1	84
"GRK7"	"chr3"	141496990	141537332	"protein_coding"	1	95
"ACAP2"	"chr3"	194995465	195163807	"protein_coding"	1	70
"TFG"	"chr3"	100428205	100467810	"protein_coding"	1	100
"IFT57"	"chr3"	107879659	107941417	"protein_coding"	1	97
"SNX4"	"chr3"	125165495	125239041	"protein_coding"	1	91
"KLHL18"	"chr3"	47324407	47388306	"protein_coding"	1	90
"SCAP"	"chr3"	47455203	47518616	"protein_coding"	1	91
"MRPL3"	"chr3"	131181056	131221827	"protein_coding"	1	98
"HEMK1"	"chr3"	50606583	50622366	"protein_coding"	1	100
"WDR48"	"chr3"	39093489	39138155	"protein_coding"	1	97
"PEX5L"	"chr3"	179512746	179754841	"protein_coding"	1	54
"ABCC5"	"chr3"	183637722	183735803	"protein_coding"	1	81
"CLCN2"	"chr3"	184063973	184079439	"protein_coding"	1	100
"DGUOK"	"chr2"	74153953	74186088	"protein_coding"	1	100
"MOB1A"	"chr2"	74379655	74406025	"protein_coding"	1	100
"LMAN2L"	"chr2"	97371666	97405801	"protein_coding"	1	100
"STEAP3"	"chr2"	119981384	120023228	"protein_coding"	1	100
"TFCP2L1"	"chr2"	121974163	122042783	"protein_coding"	1	100
"GPD2"	"chr2"	157291802	157470247	"protein_coding"	1	100
"CENPA"	"chr2"	26987157	27023935	"protein_coding"	1	98
"ITGA4"	"chr2"	182321929	182400914	"protein_coding"	1	100
"PSMD14"	"chr2"	162164549	162268228	"protein_coding"	1	100
"GPR75-ASB3"	"chr2"	53759810	54087170	"protein_coding"	1	28
"PPM1G"	"chr2"	27604061	27632554	"protein_coding"	1	96
"PDE1A"	"chr2"	183004763	183387919	"protein_coding"	1	100
"PCSK4"	"chr19"	1481427	1490751	"protein_coding"	1	100
"IFIH1"	"chr2"	163123589	163175213	"protein_coding"	1	100
"CLIP4"	"chr2"	29320571	29412509	"protein_coding"	1	84
"TACR1"	"chr2"	75273590	75426826	"protein_coding"	1	100
"EVA1A"	"chr2"	75696428	75796848	"protein_coding"	1	100
"LANCL1"	"chr2"	211295973	211342376	"protein_coding"	1	100
"GLS"	"chr2"	191745553	191830278	"protein_coding"	1	100
"PECR"	"chr2"	216861052	216947678	"protein_coding"	1	100
"KCNJ13"	"chr2"	233631174	233641278	"protein_coding"	1	100
"CCT4"	"chr2"	62095224	62115939	"protein_coding"	1	99
"GGCX"	"chr2"	85771846	85788670	"protein_coding"	1	100
"ST3GAL5"	"chr2"	86066267	86116137	"protein_coding"	1	100
"CHMP3"	"chr2"	86730554	86948245	"protein_coding"	1	100
"IL1R1"	"chr2"	102681004	102796334	"protein_coding"	1	100
"IL1RL2"	"chr2"	102803433	102856462	"protein_coding"	1	100
"TPO"	"chr2"	1377995	1547483	"protein_coding"	1	58
"TAF1B"	"chr2"	9983483	10074545	"protein_coding"	1	82
"PLEKHB2"	"chr2"	131862420	132111282	"protein_coding"	1	100
"GORASP2"	"chr2"	171784974	171823639	"protein_coding"	1	100
"CEBPZ"	"chr2"	37428755	37458856	"protein_coding"	1	97
"SOS1"	"chr2"	39208537	39351486	"protein_coding"	1	63
"KYNU"	"chr2"	143635067	143799890	"protein_coding"	1	100
"COX7A2L"	"chr2"	42560686	42652228	"protein_coding"	1	85
"ATF2"	"chr2"	175936978	176033110	"protein_coding"	1	100
"SUMO1"	"chr2"	203070903	203103331	"protein_coding"	1	100
"MSH6"	"chr2"	47922669	48037240	"protein_coding"	1	77
"PLEKHA3"	"chr2"	179345195	179381189	"protein_coding"	1	100
"FARSB"	"chr2"	223435255	223521056	"protein_coding"	1	100
"ALMS1"	"chr2"	73612886	73837920	"protein_coding"	1	100
"DNAJC16"	"chr1"	15853308	15918874	"protein_coding"	1	75
"MARK1"	"chr1"	220701568	220837803	"protein_coding"	1	100
"RALGPS2"	"chr1"	178694300	178889238	"protein_coding"	1	100
"WRAP73"	"chr1"	3547331	3569325	"protein_coding"	1	99
"KIAA1324"	"chr1"	109656301	109749401	"protein_coding"	1	56
"SRSF4"	"chr1"	29474255	29508499	"protein_coding"	1	86
"S100PBP"	"chr1"	33282368	33324476	"protein_coding"	1	92
"RNF19B"	"chr1"	33402046	33430286	"protein_coding"	1	92
"RHOU"	"chr1"	228870824	228882416	"protein_coding"	1	100
"ARHGEF2"	"chr1"	155916630	155976861	"protein_coding"	1	100
"IVNS1ABP"	"chr1"	185265520	185286461	"protein_coding"	1	100
"MFN2"	"chr1"	12040238	12073571	"protein_coding"	1	89
"TROVE2"	"chr1"	193028552	193060907	"protein_coding"	1	100
"UCHL5"	"chr1"	192981380	193029237	"protein_coding"	1	100
"AGMAT"	"chr1"	15898848	15911605	"protein_coding"	1	96
"TNNI3K"	"chr1"	74663947	75010112	"protein_coding"	1	4
"ZBTB17"	"chr1"	16268364	16302627	"protein_coding"	1	91
"CD58"	"chr1"	117057157	117113661	"protein_coding"	1	83
"TTF2"	"chr1"	117602925	117650075	"protein_coding"	1	79
"KIF21B"	"chr1"	200938520	200992828	"protein_coding"	1	100
"WARS2"	"chr1"	119573839	119683294	"protein_coding"	1	44
"TSNAX"	"chr1"	231664399	231702270	"protein_coding"	1	100
"RRAGC"	"chr1"	39303870	39325495	"protein_coding"	1	93
"SIPA1L2"	"chr1"	232533711	232697304	"protein_coding"	1	100
"AKT3"	"chr1"	243651535	244014381	"protein_coding"	1	100
"LPHN2"	"chr1"	81771845	82458120	"protein_coding"	1	0
"SDHB"	"chr1"	17345217	17380665	"protein_coding"	1	93
"ACTL8"	"chr1"	18081808	18153558	"protein_coding"	1	66
"SSX2IP"	"chr1"	85109390	85156486	"protein_coding"	1	87
"SLC2A1"	"chr1"	43391052	43424530	"protein_coding"	1	90
"EBNA1BP2"	"chr1"	43629846	43736607	"protein_coding"	1	52
"PIK3R3"	"chr1"	46505812	46642160	"protein_coding"	1	31
"VAMP4"	"chr1"	171669300	171711387	"protein_coding"	1	100
"DPH5"	"chr1"	101455179	101491644	"protein_coding"	1	94
"ENSG00000117598"	"chr1"	99355806	99470588	"protein_coding"	1	42
"RCAN3"	"chr1"	24829387	24867530	"protein_coding"	1	90
"SLC35A3"	"chr1"	100435345	100492535	"protein_coding"	1	72
"RCOR3"	"chr1"	211431719	211489727	"protein_coding"	1	100
"NEK2"	"chr1"	211836114	211848960	"protein_coding"	1	100
"RPS6KA1"	"chr1"	26856252	26901521	"protein_coding"	1	79
"NSL1"	"chr1"	212899495	212965124	"protein_coding"	1	100
"ESYT2"	"chr7"	158523686	158622944	"protein_coding"	1	91
"RCN2"	"chr15"	77223960	77242601	"protein_coding"	1	100
"IFT46"	"chr11"	118415243	118443685	"protein_coding"	1	97
"ATF6"	"chr1"	161736084	161933860	"protein_coding"	1	100
"FASTKD2"	"chr2"	207630081	207657233	"protein_coding"	1	100
"CREB1"	"chr2"	208394461	208468155	"protein_coding"	1	100
"SPCS2"	"chr11"	74660292	74690076	"protein_coding"	1	94
"CASP8AP2"	"chr6"	90539613	90584155	"processed_transcript"	1	88
"ANKRD13C"	"chr1"	70726271	70820417	"protein_coding"	1	61
"SGIP1"	"chr1"	66999066	67213982	"protein_coding"	1	16
"PHF3"	"chr6"	64345725	64489229	"protein_coding"	1	54
"AKAP7"	"chr6"	131456806	131604675	"protein_coding"	1	58
"ZNF430"	"chr19"	21203426	21242856	"protein_coding"	1	85
"ARMC2"	"chr6"	109169619	109295186	"protein_coding"	1	54
"RPN2"	"chr20"	35806813	35870022	"protein_coding"	1	99
"RAB3GAP2"	"chr1"	220321635	220445796	"protein_coding"	1	100
"UBN1"	"chr16"	4896666	4932361	"protein_coding"	1	93
"HS1BP3"	"chr2"	20760208	20850849	"protein_coding"	1	83
"CCND2"	"chr12"	4382938	4414516	"protein_coding"	1	94
"TJP2"	"chr9"	71736209	71870124	"protein_coding"	1	86
"SENP5"	"chr3"	196594727	196661585	"protein_coding"	1	96
"SET"	"chr9"	131445703	131458679	"protein_coding"	1	100
"CNTRL"	"chr9"	123837141	123939888	"protein_coding"	1	89
"INVS"	"chr9"	102861538	103063282	"protein_coding"	1	82
"VPS4B"	"chr18"	61056423	61089716	"protein_coding"	1	100
"ZBTB45"	"chr19"	59024897	59050278	"protein_coding"	1	98
"PGF"	"chr14"	75408537	75422487	"protein_coding"	1	100
"NPC2"	"chr14"	74942895	74960880	"protein_coding"	1	100
"TTLL5"	"chr14"	76099968	76421421	"protein_coding"	1	62
"RBM25"	"chr14"	73525144	73588122	"protein_coding"	1	98
"ATAD2B"	"chr2"	23971534	24149984	"protein_coding"	1	64
"FAM98A"	"chr2"	33808725	33824449	"protein_coding"	1	99
"SLC17A5"	"chr6"	74303102	74363878	"protein_coding"	1	88
"HELLS"	"chr10"	96305547	96373662	"protein_coding"	1	97
"TCTN3"	"chr10"	97423158	97453900	"protein_coding"	1	100
"CCDC147"	"chr10"	106113522	106214848	"protein_coding"	1	93
"CRHR1"	"chr17"	43699267	43913194	"protein_coding"	1	15
"PANK3"	"chr5"	167975500	168006605	"protein_coding"	1	98
"RCL1"	"chr9"	4792869	4885917	"protein_coding"	1	88
"CAAP1"	"chr9"	26840683	26892802	"protein_coding"	1	96
"MOB3B"	"chr9"	27325207	27529779	"protein_coding"	1	72
"MLANA"	"chr9"	5890802	5910606	"protein_coding"	1	100
"CCDC170"	"chr6"	151815165	151942328	"protein_coding"	1	65
"PCMT1"	"chr6"	150070579	150132556	"protein_coding"	1	80
"PLEKHG1"	"chr6"	150920999	151164799	"protein_coding"	1	31
"CXorf21"	"chrX"	30576941	30595961	"protein_coding"	1	100
"TNN"	"chr1"	175036994	175117202	"protein_coding"	1	100
"NUDCD1"	"chr8"	110253148	110346614	"protein_coding"	1	95
"EPC1"	"chr10"	32556679	32667726	"protein_coding"	1	87
"IQSEC3"	"chr12"	175931	287626	"protein_coding"	1	62
"CCDC77"	"chr12"	498439	551811	"protein_coding"	1	91
"ENOX1"	"chr13"	43787654	44361044	"protein_coding"	1	61
"SOHLH2"	"chr13"	36742345	36871979	"protein_coding"	1	98
"UFM1"	"chr13"	38923986	38937140	"protein_coding"	1	100
"MYOT"	"chr5"	137203480	137223540	"protein_coding"	1	100
"ZFP30"	"chr19"	38104650	38183238	"protein_coding"	1	71
"NR2C1"	"chr12"	95414005	95467479	"protein_coding"	1	89
"TMPO"	"chr12"	98909290	98944157	"protein_coding"	1	92
"APAF1"	"chr12"	99038919	99129204	"protein_coding"	1	76
"PTK2B"	"chr8"	27168999	27316903	"protein_coding"	1	88
"UBIAD1"	"chr1"	11333263	11356106	"protein_coding"	1	97
"LYPLA1"	"chr8"	54958938	55014577	"protein_coding"	1	91
"AKAP1"	"chr17"	55162453	55198710	"protein_coding"	1	87
"TEX14"	"chr17"	56634039	56769416	"protein_coding"	1	42
"MND1"	"chr4"	154265801	154336270	"protein_coding"	1	96
"PAPD5"	"chr16"	50186829	50269221	"protein_coding"	1	78
"ADCY7"	"chr16"	50280048	50352046	"protein_coding"	1	79
"PYROXD1"	"chr12"	21590549	21623300	"protein_coding"	1	98
"PSPC1"	"chr13"	20248896	20357142	"protein_coding"	1	96
"ZNF549"	"chr19"	58038693	58068910	"protein_coding"	1	98
"TRMT1L"	"chr1"	185087220	185126204	"protein_coding"	1	100
"SEC22A"	"chr3"	122920774	122992977	"protein_coding"	1	95
"DPPA4"	"chr3"	109044988	109056419	"protein_coding"	1	99
"KIF18A"	"chr11"	28042167	28129855	"protein_coding"	1	73
"PILRB"	"chr7"	99933737	99965356	"protein_coding"	1	97
"TBC1D15"	"chr12"	72233487	72320629	"protein_coding"	1	76
"TMEM39B"	"chr1"	32537632	32568467	"protein_coding"	1	92
"TNFSF10"	"chr3"	172223298	172241297	"protein_coding"	1	100
"PIK3CA"	"chr3"	178865902	178957881	"protein_coding"	1	92
"ADORA3"	"chr1"	112025970	112106584	"protein_coding"	1	65
"GPSM2"	"chr1"	109417972	109477167	"protein_coding"	1	77
"GTDC1"	"chr2"	144695635	145090135	"protein_coding"	1	100
"ACVR2A"	"chr2"	148602086	148688393	"protein_coding"	1	100
"POLK"	"chr5"	74807581	74896969	"protein_coding"	1	90
"UBL3"	"chr13"	30338508	30424821	"protein_coding"	1	98
"MTERFD2"	"chr2"	242011584	242041747	"protein_coding"	1	100
"COPA"	"chr1"	160259063	160313190	"protein_coding"	1	100
"LY9"	"chr1"	160765864	160798051	"protein_coding"	1	100
"ANXA11"	"chr10"	81910645	81965328	"protein_coding"	1	96
"FAM35A"	"chr10"	88853918	88951225	"protein_coding"	1	94
"NAA60"	"chr16"	3493611	3536963	"protein_coding"	1	90
"ODF2L"	"chr1"	86814344	86862023	"protein_coding"	1	86
"ZNF644"	"chr1"	91380859	91487829	"protein_coding"	1	43
"CCDC18"	"chr1"	93645476	93744287	"protein_coding"	1	55
"KLHL7"	"chr7"	23145353	23217533	"protein_coding"	1	90
"HERPUD2"	"chr7"	35672269	35735181	"protein_coding"	1	89
"CBX3"	"chr7"	26240782	26252976	"protein_coding"	1	100
"HNRNPA2B1"	"chr7"	26229547	26241149	"protein_coding"	1	100
"WIPF3"	"chr7"	29846102	29956682	"protein_coding"	1	86
"CLTA"	"chr9"	36190853	36304778	"protein_coding"	1	90
"RECK"	"chr9"	36036430	36124448	"protein_coding"	1	94
"ACO1"	"chr9"	32384618	32454767	"protein_coding"	1	95
"C7orf49"	"chr7"	134777115	134855547	"protein_coding"	1	80
"CALD1"	"chr7"	134429003	134655479	"protein_coding"	1	47
"VPS26A"	"chr10"	70883268	70932617	"protein_coding"	1	94
"RBM19"	"chr12"	114254543	114404176	"protein_coding"	1	51
"HVCN1"	"chr12"	111065646	111142755	"protein_coding"	1	82
"CDKN2C"	"chr1"	51426417	51440305	"protein_coding"	1	96
"WWP1"	"chr8"	87354967	87490649	"protein_coding"	1	82
"PRDX4"	"chrX"	23682379	23704516	"protein_coding"	1	100
"PKN1"	"chr19"	14543865	14582679	"protein_coding"	1	85
"CD97"	"chr19"	14491313	14519537	"protein_coding"	1	95
"ITIH5"	"chr10"	7601232	7708961	"protein_coding"	1	85
"NCKAP1L"	"chr12"	54891495	54937726	"protein_coding"	1	92
"PDE1B"	"chr12"	54943134	54973023	"protein_coding"	1	93
"NFE2"	"chr12"	54685895	54694905	"protein_coding"	1	100
"SARDH"	"chr9"	136528682	136605077	"protein_coding"	1	94
"ATPAF1"	"chr1"	47098409	47139539	"protein_coding"	1	85
"COL10A1"	"chr6"	116440086	116479910	"protein_coding"	1	95
"USP45"	"chr6"	99880190	99969604	"protein_coding"	1	62
"MORF4L2"	"chrX"	102930424	102943086	"protein_coding"	1	100
"BAZ2B"	"chr2"	160175490	160473203	"protein_coding"	1	100
"PLA2G12A"	"chr4"	110631145	110651233	"protein_coding"	1	100
"ACSL3"	"chr2"	223725652	223809357	"protein_coding"	1	100
"SLC12A4"	"chr16"	67977377	68003504	"protein_coding"	1	97
"GCNT7"	"chr20"	55066548	55100981	"protein_coding"	1	100
